iter	Passed	Remaining
0	1	163
1	3	153
2	5	164
3	6	164
4	9	172
5	11	177
6	13	178
7	15	179
8	17	178
9	19	177
10	21	175
11	23	175
12	26	177
13	28	176
14	30	174
15	33	173
16	35	171
17	37	169
18	39	169
19	42	168
20	44	167
21	46	165
22	49	164
23	51	163
24	54	163
25	56	161
26	58	158
27	60	156
28	62	153
29	64	151
30	66	148
31	69	147
32	71	145
33	73	142
34	75	140
35	77	137
36	79	135
37	81	133
38	84	131
39	86	129
40	88	126
41	88	122
42	90	120
43	92	118
44	95	116
45	97	114
46	99	112
47	101	109
48	103	107
49	105	105
50	107	103
51	109	101
52	111	99
53	113	96
54	114	94
55	116	91
56	118	89
57	121	87
58	123	86
59	126	84
60	128	82
61	130	79
62	132	77
63	134	75
64	137	73
65	139	71
66	141	69
67	143	67
68	145	65
69	147	63
70	149	61
71	152	59
72	154	57
73	156	55
74	158	52
75	161	50
76	163	48
77	164	46
78	166	44
79	167	41
80	168	39
81	169	37
82	171	35
83	172	32
84	173	30
85	174	28
86	176	26
87	178	24
88	179	22
89	180	20
90	182	18
91	183	15
92	184	13
93	185	11
94	187	9
95	188	7
96	189	5
97	190	3
98	192	1
99	193	0
